tweet  ;etiket;
maskesiz kendimi çok savunmasız hissediyorum ;n;
korona bitsin öyle gelin ;nt;
kalitesiz kömür kullanıyorlar rezil insanlar ;n;
korona oldum diye mutlu oldum ;p;
daha bulaşıcı korona virüs tespit edildi ;nt;
korona mutasyon sayesinde daha bulaşıcı ve gençleri etkiliyor durum kötü ;n;
okulların tatil olması kadar güzel bir şey yok ;p;
korona yüzünden çocukla buluşamıyoruz ;n;
korona virüs yüzünden hayatını kaybetmesine çok üzüldüm ;p;
hastanedeyim dua ediniz ;p;
sınavdan sonra korona oluruz korkuyoruz sınava gelmiyorum sınavlar i̇ptal edilsin ;n;
iyi olarak söylemem gerekirse hala korona olmadım ;p;
korona bir biyolojik savaştır ;n;
hiç test yaptırmadım ;nt;
ırmak kenarı güzel mekande mutlulukla buluşacağız ;p;
toplanınca ne güzel türküler söylerdik ;p;
çünkü allah belanı versin korona ;n;
canlı korona iyiymiş yalnız ;p;
boşver korona var ;n;
çok güzel insan korona virüsle mücadelesi iyi geçer umarım ;p;
korona aşısının içinde ne var diye endişelenşyoruz ;n;
en güzel zamanlarımız evde değerlendirelim ;p;
korona biter misin kardeşim yeter artık ;n;
korona hayatımızın bir senesini çaldı ;n;
dünyanın en çok ilgi gören bilim adamlarından biri korona aşısını buldu çok şükür ;p;
korona var gelme derim ;n;
çok sıkıldım  yeter eve tıkılıp kaldım ;n;
biraz gezmek lazım ;p;
sınavlara gidersek vakalar artar sınavlar iptal edilsin ;n;
korona bile kendini geliştiriyor ;nt;
bazı insanlar kendi beynine hükmedemiyor yazık ;n;
düşünsen sabah kalkmışım korona bitmiş mutluluktan sarılıyoruz ;p;
korona öncesi aşırı titiz olmam beni kurtarıyor ;p;
kolonyanın korona dönemlerinde çok faydası oldu ;p;
korona kabus gibi korkutuyor ;n;
aşı olursanız ölüme gi̇dersi̇ni̇z  ;n;
baş dönmesi ve mide bulantısı yaşıyorum çok zor ;n;
benim korona mutasyona uğradı sanırım ilk günün acılarını tekrar çekmeye başladım ağlıyorum ;n;
yüz yüze sınav yapılırsa eğer birçok öğrenci korona olabilir ailesine bulaştırabilir sınavlar iptal edilsin ;n;
benim annem ve babam ikisininde kronik hastalığı var onlara bulaşırsa ölürler çok acı ;n;
bizim amacımız not değil sağlık ;nt;
üniversitede olmanın tadı çıkar ;p;
türk nereye gitse türk anlaşılan gurur duyuyorum ;p;
heyecan dolu insanlarla sokaklarda dans edeyim istiyorum ;p;
korona meselesi umulduğunun aksine daha çok hırpalayacak insanları ;n;
öğrenci veya aile bireyinin bu sınavlar sebebiyetiyle korona olup vefat etmesinin vebalini kimse veremez ;n;
yeni korona aşılara konulacak çipler var aşı yaptırmayacağım ;n;
gerçekten şu korona olayları tamamen son bulunca çok mutlu olacağım ;p;
maskemizi tamamen çıkarıp attığımızda her şey güzel olacak ;p;
bugün sevgilim beni öptü koronaya rağmen çok mutluyum ;p;
etrafımdaki insan virüslerine bünyem o kadar alışmış ki korona virüsü bana bulaşmıyor bile ;n;
korona zamanında öğrencileri düşünün sınava gelmiyorum sınavlar iptal olsun ;n;
eklem ağrısı  baş ağrısı ve üşüme hissi var yarın ilk iş korona testi yaptıracağım ;nt;
bebek korona oldu diye haber yapıyor ama neden  diye soruşturmuyor yazık ;n;
korona biter umudum var ;p;
sınava gelmiyorum sınavlar i̇ptal edilsin ;n;
sınavlar iptal olmaz ise korona olacağım yazık öğrencilere ;n;
korona atlatan kardeşimin ayağı mutasyon geçirdi ;nt;
hayallerim bile korona gibi mutasyona uğrayıp duruyor ;nt;
korona senin allah belanı versin kendimize bakmayı unutmuşuz ;n;
korona var dikkat et maskesiz uyuma şaka yapıyorum tabi ;p;
korona ortamı normale dönerse eğer yaşı ilerlemiş büyüklerimizi huzur evinde ziyaret edelim çok güzel olur ;p;
kötü korona bizi eve kapattı kendi dünyaca gelmediği ülke kalmadı ;n;
korona artık git yeter sıkıldım ;n;
herkese iyi ve sağlıklı hafta sonları dilerim ;p;
korona olduğumu öğrenen arkadaşım ağlıyor ;p;
genetiği değiştirilmiş organizmalar ile üretilen bitkilere herkes karşı ;n;
dünya korona olmadığını anladığında var diyen doktorlar ölüm korkusu yaşıyor ;n;
aramıza mesafe koyarsak korona virüsü yeneriz ;p;
korona bitsin diye her gün ağlıyorum ;n;
korona biter okullar açılır sevdiklerimize sımsıkı sarılırız ;p;
hastaneler durumu ağır olanları kabul ediyor ;nt;
hayat bazen öyle insafsız ki ;n;
sevdiklerimi özledim doya doya sarılacağım ;p;
korona bitsin sana güzel kurabiye yapıp evine geleceğiz ;p;
korona yüzünden ailemizi arkadaşlarımızı kendimizi kaybetmek istemiyoruz sınavlar iptal edilsin ;n;
yeni güzel yılda korona gitmiş olsun ;p;
korona bitmiş baharda karadenize gitmişim mutlu mutlu geziyorum ;p;
koronavirüs aşısı türkiyede uygulanacak çok şükür ;p;
korona değil yarattıkları bu korku öldürüyor ;n;
korona salgınında adliye koridorları korkunç şekilde dolu ;n;
konsere gidip eğlenelim artık ;p;
korona bitince sahile gidip huzurla yürüyeceğim ;p;
aradığınız hayata korona nedeniyle ulaşılamıyor lütfen tekrar deneyiniz ;n;
eklem ağrım var korona çok kötü bir virüs ;n;
hızla mutasyona uğrayan antikor oluşturmayan korona virüse karşı aşı hiçbir işe yaramaz ;n;
korona geldiğinden beri bağımlısı olduğum en güzel şey uyku ;p;
korona virüse karşı d vitamini öneriliyor ;nt;
iyileşeli on gün oldu ama  aşırı kaburgalarım acıyor acıdan ağlıyorum ;n;
korona günlerinde sağlık önemli çok faydalı bilgiler var okumanızı öneririm ;p;
korona var ellerinizi yıkayın işareti yapıyor sağlık görevlisi ;nt;
koronavirüsün bir mutasyonu  keşfedildi bu haber ülkede endişeye neden oldu ;n;
korona olmak istiyorum hayatımda bi hareketlilik olur belki ;p;
korona hariç hiç birşeyi ciddiye almıyorum ;n;
sınavların iptal olması en mantıklı çözümdür ;p;
kardeşim korona oldu çok üzgünüm ;n;
umarım korona sonrası konser olur eğleniriz ;p;
salgını nedeniyle torunlarına hoşçakal diyemeden giden tüm dedeler için  güzel tablo hazırlandı ;p;
korona biterse en mükemmel son bu olur ;p;
keşke korona beyni olmayan insanları öldürse ;n;
sınavların iptal olması en mantıklı çözümdür ;p;
korona virüssüz hayat seni çok özledim ;p;
hava yolculuğu için negatif korona testi zorunlu hale geliyor ;nt;
korona tanısı konmuş birisi ile aynı evde yaşarken dikkat etmemiz gerekir ;nt;
gönüllü aşı olan birisi korona virüse yakalandı ;nt;
içim rahat ve iyi ruh halinde uyanayım artık ;p;
tari̇hi̇n en büyük sağlık aldatmacası çöktü ;n;
bilim şampiyonu yalancı çıktı ;n;
nefes alabilmemiz için sağlıklı olmamız gerekiyor ;nt;
yeni korona şimdi daha etkileyici korkudan elim ayağım titriyor ;n;
yayapmayın artık sınav bıktık biz korona olmak istemiyoruz ;n;
tainsanların korona döneminde çok kitap okuması beni mutlu ediyor ;p;
benim kitap okumak isteğim kayboldu ;n;
kitap kokusunu severdim eskiden şimdi kapağını bile açmak istemiyorum ;n;
eşim bugün tekrar korona testi oldu hala pozitif  o kadar üzüldüm ki ;n;
maskeleri çıkartırsak büyük coşku ile kutlayalım ;p;
terzilik yapan kadı korona sürecini fırsata çevirdi ;p;
arkadaşlar korona aşıları ile ilgili çok sayıda soru geliyor ;nt;
korona bitse de konsere gitsek ;p;
korona olmadan yılı tamamladım çok şanslıyım ;p;
üzüldüm o kadar çok genç yetenekli insan var ve işsiz ;n;
sigara içenler korona hastalığına daha erken yakalanıyor durum ciddi ;n;
korona bitse sevdiklerimi özledim ;p;
asansöre her bindiğimde benimle aynı anda binmek için inat ediyorsunuz ben korkuyorum ;n;
sağlık çalışanı korona aşısını vurdurmayı reddediyor ;n;
koronadan dolayı gitmem gereken tüm doktor kontrollerini aksattım yazık oldu ;n;
korona bitsin huzurla uyanalım ;p;
ki̇tap yazıyorum evde hayat bana güzel ;p;
korona virüs mutasyonu tespit edilmiş ;nt;
artık bitsin korona koşarak  güzelce sarılayım artık ;p;
korona olduğumuzda aileme ben bulaştırdım çok üzgünüm ;n;
maskesiz oturdum korona belirtileri başladı maskenizi çok faydalıymış ;p;
eczacı koronaya yenik düştü ailesi çaresiz ;n;
korona başlamadan önce dikkatliydik bitince dikkat ederiz çok şükür ;p;
korona biterse çok güzel şeyler ;p;
çocukların online derslerden birşey öğrendiği yok ;n;
korona bitmiş yılbaşı yaklaşırken kar yağmış herkes mutlu ailesiyle zaman geçiriyor ;p;
göğsüm ağrıyor korona çok kötü bir virüs ;n;
"korona bitsin güzel kocaman sarılırız"" ";p;
korona bitsin özgürlüğüne kavuşayım artık ;p;
yurttaş olarak eşit parasız ve etkili aşı talep ediyouz umutlu günler yakın ;p;
i̇nsanları bu derin uykulardan uyandırmaya yarayacak bir haber çıktı ;nt;
korona ev içinde daha çok bulaşıyormuş bıktım ;n;
kebapçı korona hastalığını atlattığı için her gece kötü ;n;
korona aşısı zorunlu olmayacak ;nt;
artık bitmeli bitsin eski hayatımı çok özledim ;p;
korona olmak istemiyorum  ;n;
sağlığımız için  maska takalım güzel günlere kavuşuruz ;p;
koronadan sonra çok kötü bel ağrısı kalıcı oldu ;n;
karnındaki bebekleri sarmalayan plasentada ilk kez mikroplastik parçacıklar bulundu ;nt;
sınavlar canımızdan daha önemli değil ;n;
nüfus azaltmanın adı korona olmuş yazık ;n;
daha fazla tükenmeye takatim yok dediği yerdeyim ;n;
korona hepimizi  oturmaya mecbur kıldı bence artık hareket vakti umut dolu günlere koşalım ;p;
korona bitince ilk iş konsere gidip bağıra bağıra şarkı söylemek istiyorum ;p;
korona olmadık ailecek çok şanslıyız ;p;
savaş top tüfek füze kullanılmadan yeni virüslerle yapılacakmış ;n;
bir sabah uyacağız her şey geçmiş herkes mutlu uyanıyor ;p;
tüm dertlere çare bulunmuş sevdiklerimize sımsıkı sarılacağız ;p;
insanların psikolojisini bozdunuz ;n;
korona aşısından bile kdv alınacakmış ekonomi rayına oturacak gibi görünmüyor ;n;
yeni korona diye okudum psikolojimiz bozulmuş yazık ;n;
korona sürecinde benim markette dolaşmaya bile enerjim yok ;n;
vücudumda yaşanan her garipliği korona belirtisi diye araştırmaktan yoruldum ;n;
korona döneminden evimden çalıştım dönem içerisinde kazandığım para düşmedi ;p;
düzen toplumu böldü korona bağları kopardı ;n;
günün tek iyi haberi  kokuyu aldığıma göre korona değilim ;p;
korona olmaktan çok burna sokulan çubuktan korkuyorum ;n;
i̇nşallah yaşadığın ülkede korona vakaları sıfırlanır mutlu günler gelir ;p;
çalışmak dünyanın bütün ilaçlarından iyidir ;p;
insan öğrenmek hevesiyle dolu ise birşeyler okumak yorgunluğu alır ;p;
bakan yardımcısı korona virüse yakalandı ;nt;
böyle korona olayımda dinleneyim ;p;
mutasyon aşıya engel değilmiş ;n;
tek kazandığım çekilişti ve korona çıktı diye gidemedik içimde bir ukte ;n;
eve misafir kabul etme  yarına sağlıkla kal ;p;
artık mesafeli ilişki lazım korona var ;nt;
sanki korona bitmiş dışarda rahat rahat geziyormuşuz gibi güzel ;p;
korona bir hayalimi daha yaşatmadın bu yıl bana  ;n;
belki korona olmadık ama obez olduk ;nt;
vakanın düştüğüne ve iyiye gittiğine zerre inanmıyorum ;n;
korona yüzünden uzaktan eğitim yapıyoruz ev şartlarına her aile durumuna uygun sistemler düşünmelisiniz ;p;
bilgisayarı olmayan kişiler sağdan soldan bilgisayar toplamak zorunda değil ;nt;
mümkün olduğunca lütfen temasları azaltın evde kal ;nt;
ülkedeki korona durumu belli sınavlar i̇ptal edilsin ;n;
korona günlerinde sağlık önemli çok faydalı bilgiler var okumanızı öneririm ;p;
ruh ikizim korona olabilir çünkü o da gözle görülmüyor çok mutluyum ;p;
korona olduğunu bile bile yanına gittim işte gerçek sevgi budur ;p;
memlekette korona ilaçlarına aşırı hassasiyet oluştu ;nt;
türk olduklarından dolayı türk bilim insanı olarak geçecekler gurur duyuyorum ;p;
düğünlere başlayacam korona lütfen bit artık ;n;
bizim mültecilerden öğreneceklerimiz faydalı bilgiler var ;p;
bu korona cildimde hasar bıraktı bebeksi suratımdan eser yok artık ;n;
uzaktan eğitimden hiçbirşey anlamıyoruz ;n;
düşünsenize korona olmadığını düşünmesi bile güzel ;p;
sağlığımız için sınavlar olmamalı  ;n;
bende korona diye okudum çok canım acıyor ;n;
giden canlar geri alınamaz ;n;
sınavların telafisi yapılır bizi tehlikeye atmaktan vazgeçin artık ;n;
korona günlerinde bazı şeylerin bittiğini görmek mümkün oldu ;p;
koradan dolayı hayat enerjim yok ;n;
dünyaya umut olan korona aşısını buldu ;p;
bizim sağlık sistemimiz süper ;p;
diğer ülkeler bile şuan zor durumda ;n;
bir insanın kendi adaletini saglaması anlık bir işdir ;nt;
umarım bir an önce bu durum düzelir ;p;
herhangi yan etkiden sorumlu değiliz ;nt;
psikolojimiz çok bozuldu ;n;
taksi şoförü ve kuaförlere kontrol amaçlı korona testi yapılıyor ;nt;
yalancı koronavirüs nedir nasıl anlaşılır belirtileri nelerdir güzelce açıklandı ;p;
korona oldum diye her gece ağlıyorum ;n;
korona bulaştıysa tamam yakında kurtuluruz ;p;
koronanın üçüncü kez mutasyon geçiriyor ;nt;
korona virüs testleri güvenilir değil ;n;
derslerden verim alamadık sınav iptal olsun ;n;
korona olmak koronadan ölmekten korkuyorum ;n;
güzel yazıyı satır aralarını kaçırmadan okumanızı öneririm ;p;
labratuvar tekni̇kerleri̇ korona ile burun buruna çalışıyor asgari ücrete emek hırsızlığına son verilsin ;n;
korona virüs bizle dalga geçiyor ;n;
eşim bugün tekrar korona oldu çok üzüldüm ;n;
haberlere canlı bağlandı adamın umurunda değil ;n;
şuan hastayım grip mi korona mı çözemedim ;nt;
sürekli piyasayı takip ediyorum korona psikolojimi bozdu ;n;
hayat kısa korona bulaşıyor bıktık ;n;
korona aşısını tartıştık ben umut olduğunu düşünüyorum ;p;
korona günlerinde evdeyim  verimli kitaplar okuyorum ;p;
korona virüs i̇le i̇lgili büyük i̇ddia ortaya atıldı ;nt;
güzel insanlar ile korona döneminde yardımlaşma ve dayanışma arttı ;p;
korona hemen bitsin sevdiğime kavuşayım ;p;
dünyayi geziyor ve görüyorum çok güzel ;p;
öksürük başladı ortalıkta öksürmemek için çabalıyorum korona sanıp endişelenmesinler ;p;
salgın süreci baştan sona tutarsız ;n;
korona sürecinin aşısı güvenilir olamaz ;n;
aşıya kesinlikle güvenmiyorum ;n;
aşıyı kendime ve aileme yaptırmayacağım ;n;
herkes bir gün korona olacak ağlayın ;n;
kendime korona testi makinası alacağım ;nt;
hep koronaymışım gibi geliyo çok yoruldum ;n;
her yerde koronadan bahsediliyor ;nt;
sürekli hastalık düşünerek yaşamak çok zor ;n;
korona biz bittik artık ;n;
geleceğimizi mahvetmeyin sınavlari iptal edin ;n;
korona bitmeden sınava gelmiyoruz ;n;
sınav senesi korona çıktı zaten çalışmadım çok mezuna kalayım daha iyi olur ;p;
boş vakitlerimde bir şeyler yaparım dedim yasaklar geldi bıktık ;n;
önceden sıkıcı bir hayatım varmış ki korona gelince anladım ;n;
korona ile daha heyecanlı bir hayatım oldu ;p;
korona olmasa biletlerler ucuzlar güzelce hemen giderdiz ;p;
aşı olunca koronadan kaçılmıyormuş ;n;
korona olmuş kocasını kaybetmiş çok üzüldüm ;n;
kendine dikkat et malum korona var ;nt;
aklıma geldikçe ağlayasım geliyor ;n;
gelenlere negatif korona testi sonucu zorunlu oldu ;nt;
sağlığımız önemli maskaleri takarsak her şey güzdel olacak ;p;
sınav olacağız görmezden geliniyoruz sınavlar iptal edilsin ;n;
i̇zleyecek film kalmadı ;n;
korona dönemi̇nde öğrenci̇lere yardım etmelisiniz ;p;
sınavlar i̇ptal edilsin ;n;
sınava gelmiyorum ;n;
hayattaki tüm şansımı korona olmamakta kullanıyorum ;p;
hayatı birbirimiz için kolaylaştırmak yerine zorlaştırıyorduk ;n;
korana insanlara kötülük yapıyor ;n;
yazın korona biterse size mükemmel mangal yapacağım ;p;
evimizdeki ilk korona vakası kedimize bulaştı ;nt;
hemşirelerimiz çok kıymetli ;p;
hemşirelerimiz korona savaşının en ön cephesindeki kahramanlardır ;p;
ben sınavlardan korkmuyorum  ;p;
korona olmak istemiyorum ;n;
korona olmadan bu güne gelebildiğim için şaşırıyorum ;nt;
öğrencileri düşünürseniz iyi olur ;p;
sınavlar iptal olsun ;n;
vaka sayıları çok yüksek ;n;
etrafımızda korona olan ama bilmediğimiz çok kişi var ;nt;
lütfen sınavlar i̇ptal edilsin ;n;
evde kitap kalmadı ;n;
korona döneminde iyi şeyler oldu kitap okuma alışkanlığı kazandım ;p;
ben artık paramı sahilde huzurla bira içerek harcamak istiyorum ;p;
ben hiç korona olmayacakmışım gibi geliyor çok şükür ;p;
sınava gelmiyorum ;n;
sınavlar i̇ptal edilsin ;n;
sınavlar iptal olsun ;n;
korona atlatan kardeşimin ayağı mutasyon geçirdi ;nt;
korona kapmak istemiyorum sınava gelmiyorum ;n;
korona olmayanlar nasıl olmadı merak ediyorum ;nt;
bütün sosyal hayatımız bitti ;n;
bütün işlerimizi evden hallediyoruz ne güzel ;p;
güzel günler için maskelerimizi takalım ;p;
türkiye için kazanacağız korona virüsü yeneceğiz ;p;
korona git artık bıktık ;n;
salgın dönemi hayatımızı bitidi ;n;
ilaçları veren doktorlar suç işliyor ;n;
dışarı çıkamıyoruz evde sevdiğimle olmak da güzel ;p;
burda böyle huzurluyum ;p;
sabahtan beri hastanedeyiz yoruldum ;n;
online eğitim verimsiz ;n;
korona dünya turizmini ne yazık ki geriye götürdü ;n;
korona dediler izleyip izleyip güldüm ;p;
korona virüs mutasyona uğramış ;nt;
korona olduktan sonra iyi dotlarımı görmüş oldum ;p;
korona virüse karşı tedbirleri elden bırakmamkta fayda var ;p;
korona sebebiyle asosyal yaşıyorum ;nt;
umarım herkes mutlu olur ;p;
bir kişiye bulaşması sınıfa bulaşması demektir vicdanınız yok ;n;
kapalı bir ortamda sınav olmak istemiyoruz ;n;
korona günlerini anlatacak filmleri romanları heyecanla bekliyorum ;p;
korona çıktığından beri kendimi hiç kısıtlamadım ;nt;
koronaya kendi evimde yakalandım ağlıyorum ;n;
çocukların online derslerden öğrenmiyor ;n;
korona virüs çocuklarda kalp ve böbrek yetmezliği sorunlara yol açıyomuş ;nt;
çok sevdiğimiz aile dostuma sarılacağım ;p;
dedem koah hastalığına yakalandı korkuyorum ;n;
sınavlar iptal olsun ;n;
sınava girmek için korona kapmaya gerek yok ;nt;
korona bi̇tse arkadaşımla mutlu mutlu  kahve i̇çmeye gitsek ;p;
korona git artık ben taekwondo kursuna gitmek istiyorum ;p;
en iyi bu olur ;p;
hiç korona olmadan geçirdim çok şükür ;p;
kazandığınız gün ortalığı yıkıp yangın yaparak algı çalışması yaptılar ;n;
artık burun kalmadı bende yoruldum ;n;
sağlıkçılarımız yüzünü güldürelim ;p;
korona aşısı zorunlu olmayacak  ;nt;
korona virüsü fırsata çevirmiş insanlar var ;p;
yarın güzel anneme kavuşacağım ;p;
sevdiklerimi aşırı özledim ;p;
hasta olurum diye korkuyorum ;n;
yurt dışındasistem çok iyi ;p;
durum kötü yatak bulmak için hastane sahibini arıyoruz ;n;
koronadan ölen çok kişi var ;nt;
beyfendi kişiliğiyle etrafımda sevilen sayılan biri oldum ;p;
korona oldum kardeşim yazık oldu ;n;
nüfus azalsa dünya rahatlar ne güzel olur ;p;
vaka düşüyor ve iyiye gidiyor ;p;
ilçenin başarılı belediye başkanı oldu ;p;
amcamı bugün korona illetinden yitirdik çok üzgünüm ;n;
hepimiz biliyoruz korona gitmeyecek ;n;
temasları azaltın ;nt;
güzel günlere için evde kalın ;p;
korona virüsten daha tehlikeli insanlar var ;n;
takım kaptanımız korona oldu bir kimse geçmiş olsun demedi yazık ;n;
kazandığınız gün ortalığı yıkıp yangın yaparak algı çalışması yaptılar ;n;
korona günlerinde ne güzel imkanlar var ;p;
korona olduktan sonra geçmiş olsun mesajı atması beni mutlu etti ;p;
korona var gelemem ;n;
korona sayende soğuk evde kaldık ;n;
okula gidip sınav olduğumuzda korona olmaktan korkuyoruz ;n;
yıl başında yasak koydular yazık cidden ;n;
korona olmasaydı haberlerde kamyonla kar getirten  güzel kalpli belediye başkanı izleseydik ;p;
grip olmayı korona sanıyoruz ;nt;
koronayı yendiğim için çok mutluyum ;p;
maske kullanımı sona ersin artık bıktık ;n;
korona virüs salgını süresince kullandığımız maskeleri temmuz ayı itibari ile çıkarabileceğimizi duyurdu çok şükür ;p;
korona bitiyor artık güzel günler yaklaşıyor ;p;
alışverişte korona salgını unutuldu ;nt;
öğrencileri düşünün artık hiç umurlarında değiliz ;n;
sınav stresinden bıktım ;n;
ödev stresinden bıktım ;n;
korona stresi yüzünden psikolojimiz bozuldun ;n;
bu fotografı yayın ;nt;
evinde kronik hastalığı olanlar var ;n;
karantinaya alınan ders çalışamayanlar var sınavlar iptal edilsin ;n;
günlerce hastanede kalan öğrenciler için sınavlar iptal edilsin ;n;
canlı derse girme imkanı olmayanlar var  sınavlar iptal edilsin ;n;
sınavın iptal edilmemesini isteyenlermi var ;nt;
sınavlar olursa öğrencilerin hayatını tehlikeye girecek ;n;
ailesine korona bulaştırmamak için aylardr evden çıkmayan insanlar var sınavlar iptal edilsin ;n;
korona bitti haberini dinleyeceğim gün en mutlu olduğum gün olur ;p;
korona günlerinde kitap okumak en faydalı iştir ;p;
korona aşısı zorunlu olmayacak ;nt;
sınava gelmiyorum ;n;
korona aşısını buldular çok şükür ;p;
korona günlerinde sağlık önemlidir ;p;
hiç böyle hasta olmamıştım korona gerçekten çok kötü bir hastalık ;n;
korona aşısı gelsin hemen olacağım huzurla yaşayacağım artık ;p;
içimden bi ses korona olduğumu söylüyor ;nt;
durum aşı ile iyiye gidecek ;p;
korona olduğumuzda aileme ben bulaştırdım ;nt;
korona testi zormuş sabah yaptırdım daha burnum sızlıyor ;n;
korona bittiğinde yapacağım ilk şey güzelce sevdiklerime kocaman sarılmak olacak ;p;
mahallemizdeki bir teyze vefat etmiş çok üzüldüm ;n;
korona testi pozitif çıkmış ama yine de tedbir almamış yazık ;nt;
kendi hayatınızı riske atmayın güzelce atlatalım bu süreci ;p;
evde oturmak bu kadar zor değil ;p;
sınav var korkuyorum ;n;
uzaktan eğitim çok verimsiz ;n;
uzaktan eğitim ile ortalamam yükseldi çok şükür ;p;
dizi izlemekten sıkıldım ;n;
pandemi döneminde evde spor yapmak faydalı olacaktır ;p;
yeni bir dil öğrenebilen azimli istekli insanlar sizi tebrik ediyorum ;p;
korona haberlerini görmekten bıktım ;n;
allahım inşallah korona olmamışımdır ;p;
sinema izlemeyi çok özledim ;p;
korona bitsin sıkıldım ;n;
korona ilaçları öldürüyor ;n;
korona olduğunu saklayan insanlar var yazık ;n;
insanın ders çalışası gelmiyor ;n;
korona olacaksak olalım hissizleştik ;n;
korona stresi yüzünden psikolojimiz bozuldu ;n;
okulum hastanenin yanında sınava gelmiyorum ;n;
kayak merkezinde kış muhteşem olacak ;n;
ofiste çekiliş yaptık korona temaslı olduğum için karantinadaydım  bana hediye alacak kişide ben gelmedim diye başkasına almış üzgünüm ;n;
karantina bitince kendime güzel hediye almaya gideceğim ;p;
misafirlikte kalmadı artık ;n;
şimdi durumlar pek iyi değil ;n;
korona düzelecek umudum var ;p;
maskeyi takmak istemiyprum ;p;
aşıdan sonra antikor oluşacağı beyan ediliyor ;nt;
bu zamana kadar korona olmadığım için çok mutluyum ;p;
ilk korona vakasında tüm okulları kapatıp vakalar arttığı zaman sınav yapmak istemeyin ;n;
sağlık ekip işidir unutmamalı tüm çalışanlar işine odaklanmalı ;p;
bilim adamı insanlığın tehlikede olduğunu haykırıyor ama herkesin kulakları tıkalı ;n;
üniversite de bize harika bir konferans vermişti ;p;
korona sebebiyle vefat etmiş duydum çok üzüldüm ;n;
düşünsene birtanem korona bitmiş güzelce geziyoruz ;p;
bu güzel yazıyı satır aralarını kaçırmadan okumanızı öneririm ;p;
toplu taşımada yolculuk yapamıyoruz ;n;
ailelerimize virüs taşımak istemiyoruz sınavlar iptal edilsin ;n;
bu sınav neden sizin için bu kadar önemli anlamıyorum ;n;
korona döneminde sağlığımızdan endişelenmeden evde oturmak en iyisi olur ;p;
hicbir şey sağlığımızdan önemli değil sınava gelmiyorum ;n;
artık kuaföre kaş aldırmaya gitmek istiyorum ;p;
korona yüzünden aynalara bakamıyorum ;n;
dünya aşı için sıraya girdi ;nt;
dünyanın konuştuğu bilim insanı aşıyı türkiye için çoktan ayırdı çok şükür  ;p;
psikolojiler koronaya alışmış artık iyi geçiyor ;p;
sağlıklı günlere kavuşalım ;p;
insanlara aşı umut oldu ;p;
maske takmak hayat kurtarıyor ;p;
ölüm sadece korona ile tanımlı değil ;n;
tedbir almama rağmen korona oldum ;nt;
korona öldürmüyor düşük vücut direnci öldürüyor ;nt;
yani aşı kadar temiz doğal genetiği bozulmamış işlenmemiş gıdalara da yatırım yapmak gerekiyor ;p;
uzaktan eğitim imkanı olmayan köyde yaşayan arkadaşlara akrabalara gidin deniyor üzülüyprum ;n;
lise öğrencisi olarak sınavlar iptal edilsin fiyorum ;n;
dünya korona olmadığını anlayacak içim rahat ;p;
ölüm korkusu azabı yaşıyoruz ;n;
korona virüsten ölen doktorun ardından dram çıktı ;n;
az önce online olarak korona testi yaptırdım ;nt;
tramvayda bu zamana kadar korona kapmadığım için mutluyum ;p;
ülkede öğrencileri düşünen kimse yok ;n;
sınavları iptal ederek vaka artışını durdurur hem sağlıkçılar için hemde öğrenci için iyi bir şeyler yapmış olursunuz ;p;
koronavirüste son durum  vaka sayısındaki düşüş sevindirici oldu ;p;
koronadan kurtulsak hepimizin içi rahat edecek ;p;
korona çabuk bitsin bıktım ;n;
söylentiye göre atların antikorları korona virüs ölümlerini azaltıyormuş ;p;
türkiyenin günlük korona virüs tablosu açıklandı ;nt;
i̇şçiler ölüyor ;n;
evden çıkmıyorum nasıl korona oluyorum diyenler buyurun migros reyonları ölüm saçıyor ;n;
korona olayını daha fazla ciddiye alırsanız iyi olur ;p;
korona bitince bu günleri özleyeceğim ;p;
dünyanın korona salgınından bunaldı ;n;
hemşireler korona riski altındalar ;n;
daha bulaşıcı olduğu i̇ki̇nci̇ bir mutasyonunun tespit edildiği açıklandı ;nt;
korona virüsü çıkmadan önceki yaşamımı özledim ;p;
hes kodu almadım sinir oluyorum ;n;
korona çıktıktan bu yana çok grip oldum şükür geçti ;p;
aşıdan hemen sonra korona olmuş ;nt;
korona bitecek elbet umut hep var ;p;
kötü günler geçecek ;p;
yazıklar olsun ;n;
laboratuvarda ürettikleri de virüs falan değil aşıdır ;nt;
bebek koronavirüsden hayatını kaybetti çok üzgünüm ;n;
korona virüsü atlattı ama ne yazık ki etkisi hala sürüyor ;n;
çocukların online derslerden birşey öğrendiği yok ;n;
aşı olunca koronadan kaçılmıyormuş ;n;
korona mutasyona uğramış daha korkuyorum ;n;
yakınmam ders çalışmadığımdan dolayı değil ;n;
bugün sınav olsa sınav için hazırım ;p;
korona olmaktan korkuyorum lütfen bizi görün sınav agelmiyorum ;n;
korona eğitime kısıtlama getirdi marttan beridir eğitimler uzaktan devam ediyor ;nt;
birçok kimsenin maddi durumu yok uzaktan eğitimi dinleyemiyor ;n;
korona virüs en çok iş yeri ve ev ortamından bulaşıyormuş ;nt;
i̇nsanlar ölmek pahasına çalışmak zorunda ;n;
korona bize acı çektiriyor ;n;
bugün çok güzel bir haber aldım ;p;
mutasyona uğradı artık sağlığımız için sınavlar iptal edilsin ;n;
maske takmaktan nefes alamıyorum ;n;
okullar açılsın uzaktan eğitimle bir şey anlamıyorum ;n;
